Site,SurveyDate,Plane_Height,Area_2D,Area_3D,Volume,Errors,SitePart,Processed_File,TripDate,SiteRange,Segment,MaxVol,Max_Area,Time_Series
003l,2011-10-05,eddyabove25k,159.1360565,171.8095249,47.60390673,6.365442259,Eddy,Eddy_High_Elevation_Zone.csv,2011-10-05,long,1_UMC,275.301046712,7603.0,short
003l,2012-10-03,eddyabove25k,149.8939238,164.3578358,45.845206,5.995756954,Eddy,Eddy_High_Elevation_Zone.csv,2012-10-03,long,1_UMC,275.301046712,7603.0,short
003l,2013-09-21,eddyabove25k,115.6606752,136.2287034,28.67714756,4.626427009,Eddy,Eddy_High_Elevation_Zone.csv,2013-09-21,long,1_UMC,275.301046712,7603.0,short
003l,2014-09-24,eddyabove25k,120.7763909,139.6867922,28.5554342,4.831055635,Eddy,Eddy_High_Elevation_Zone.csv,2014-09-23,long,1_UMC,275.301046712,7603.0,short
003l,2015-09-23,eddyabove25k,133.9165249,152.086333,32.33643769,5.356660995,Eddy,Eddy_High_Elevation_Zone.csv,2015-09-22,long,1_UMC,275.301046712,7603.0,short
008l,1990-09-28,eddy8kto25k,1270.276892,1276.687495,732.5761617,50.81107569,Eddy,Eddy_Fluctuating_Zone.csv,1990-06-10,long,1_UMC,1196.97124225,2942.0,long
008l,1991-07-26,eddy8kto25k,1176.582461,1182.687555,689.986702,47.06329842,Eddy,Eddy_Fluctuating_Zone.csv,1991-07-26,long,1_UMC,1196.97124225,2942.0,long
008l,1991-11-22,eddy8kto25k,1044.958549,1052.329241,677.9621372,41.79834196,Eddy,Eddy_Fluctuating_Zone.csv,1991-11-01,long,1_UMC,1196.97124225,2942.0,na
008l,1992-10-15,eddy8kto25k,1318.295095,1324.50665,683.9083468,52.73180381,Eddy,Eddy_Fluctuating_Zone.csv,1992-10-15,long,1_UMC,1196.97124225,2942.0,na
008l,1993-04-01,eddy8kto25k,1561.597441,1569.563787,798.5081586,62.46389763,Eddy,Eddy_Fluctuating_Zone.csv,1993-04-01,long,1_UMC,1196.97124225,2942.0,na
008l,1993-10-08,eddy8kto25k,1376.838515,1382.616568,860.3261361,55.07354061,Eddy,Eddy_Fluctuating_Zone.csv,1993-10-08,long,1_UMC,1196.97124225,2942.0,long
008l,1994-04-07,eddy8kto25k,1381.552974,1387.044845,835.7840173,55.26211894,Eddy,Eddy_Fluctuating_Zone.csv,1994-04-07,long,1_UMC,1196.97124225,2942.0,na
008l,1994-11-21,eddy8kto25k,872.9154329,886.5368475,416.3304329,34.91661732,Eddy,Eddy_Fluctuating_Zone.csv,1994-11-20,long,1_UMC,1196.97124225,2942.0,long
008l,1995-04-25,eddy8kto25k,880.4491634,891.2005091,374.8938993,35.21796654,Eddy,Eddy_Fluctuating_Zone.csv,1995-04-24,long,1_UMC,1196.97124225,2942.0,long
008l,1996-02-12,eddy8kto25k,1102.023508,1110.826417,365.5748363,44.08094031,Eddy,Eddy_Fluctuating_Zone.csv,1996-02-13,long,1_UMC,1196.97124225,2942.0,long
008l,1996-04-16,eddy8kto25k,1081.34674,1091.495563,1025.554556,43.25386958,Eddy,Eddy_Fluctuating_Zone.csv,1996-04-15,long,1_UMC,1196.97124225,2942.0,long
008l,1996-09-14,eddy8kto25k,943.5104053,952.0296148,626.7200902,37.74041621,Eddy,Eddy_Fluctuating_Zone.csv,1996-09-12,long,1_UMC,1196.97124225,2942.0,long
008l,1997-02-14,eddy8kto25k,930.5361497,943.6680993,468.7048771,37.22144599,Eddy,Eddy_Fluctuating_Zone.csv,1997-02-13,long,1_UMC,1196.97124225,2942.0,long
008l,1997-04-20,eddy8kto25k,1161.422993,1168.967701,395.1077677,46.45691972,Eddy,Eddy_Fluctuating_Zone.csv,1997-04-20,long,1_UMC,1196.97124225,2942.0,long
008l,1997-08-25,eddy8kto25k,1165.991258,1171.489357,398.4226036,46.63965031,Eddy,Eddy_Fluctuating_Zone.csv,1997-08-23,long,1_UMC,1196.97124225,2942.0,long
008l,1997-11-07,eddy8kto25k,1227.694402,1231.279885,562.6264222,49.10777607,Eddy,Eddy_Fluctuating_Zone.csv,1997-11-06,long,1_UMC,1196.97124225,2942.0,long
008l,1998-04-15,eddy8kto25k,1276.969887,1282.479195,443.7462841,51.07879547,Eddy,Eddy_Fluctuating_Zone.csv,1998-04-15,long,1_UMC,1196.97124225,2942.0,long
